Date,Close
2015-03-03,79.6
2015-04-03,80.9
2015-05-03,81.21
2015-06-03,80.01
2015-09-03,79.44
2015-10-03,77.55
2015-11-03,77.57
2015-12-03,78.93
3/13/2015 16:00:00,78.05
3/16/2015 16:00:00,78.07
3/17/2015 16:00:00,79.36
3/18/2015 16:00:00,80.91
3/19/2015 16:00:00,82.75
3/20/2015 16:00:00,83.8
3/23/2015 16:00:00,84.43
3/24/2015 16:00:00,85.31
3/25/2015 16:00:00,82.92
3/26/2015 16:00:00,83.01
3/27/2015 16:00:00,83.3
3/30/2015 16:00:00,83.2
3/31/2015 16:00:00,82.22
2015-01-04,81.67
2015-02-04,81.56
2015-06-04,82.44
2015-07-04,82.32
2015-08-04,82.28
2015-09-04,82.17
2015-10-04,82.04
4/13/2015 16:00:00,83.01
4/14/2015 16:00:00,83.52
4/15/2015 16:00:00,82.71
4/16/2015 16:00:00,82.31
4/17/2015 16:00:00,80.78
4/20/2015 16:00:00,83.09
4/21/2015 16:00:00,83.62
4/22/2015 16:00:00,84.63
4/23/2015 16:00:00,82.41
4/24/2015 16:00:00,81.53
4/27/2015 16:00:00,81.91
4/28/2015 16:00:00,80.68
4/29/2015 16:00:00,80.47
4/30/2015 16:00:00,78.77
2015-01-05,78.99
2015-04-05,78.81
2015-05-05,77.56
2015-06-05,78.1
2015-07-05,78.43
2015-08-05,78.51
2015-11-05,78.01
2015-12-05,77.46
5/13/2015 16:00:00,78.44
5/14/2015 16:00:00,81.37
5/15/2015 16:00:00,80.42
5/18/2015 16:00:00,80.88
5/19/2015 16:00:00,80.63
5/20/2015 16:00:00,80.55
5/21/2015 16:00:00,80.48
5/22/2015 16:00:00,80.54
5/26/2015 16:00:00,79.33
5/27/2015 16:00:00,80.55
5/28/2015 16:00:00,80.15
5/29/2015 16:00:00,79.19
2015-01-06,80.29
2015-02-06,80.44
2015-03-06,82.44
2015-04-06,82.05
2015-05-06,82.14
2015-08-06,80.67
2015-09-06,80.67
2015-10-06,82.16
2015-11-06,81.83
2015-12-06,81.53
6/15/2015 16:00:00,80.71
6/16/2015 16:00:00,81.06
6/17/2015 16:00:00,81.79
6/18/2015 16:00:00,82.91
6/19/2015 16:00:00,82.51
6/22/2015 16:00:00,84.74
6/23/2015 16:00:00,87.88
6/24/2015 16:00:00,88.86
6/25/2015 16:00:00,87.98
6/26/2015 16:00:00,88.01
6/29/2015 16:00:00,85.8
6/30/2015 16:00:00,85.77
2015-01-07,86.91
2015-02-07,87.29
2015-06-07,87.55
2015-07-07,87.22
2015-08-07,85.65
2015-09-07,85.88
2015-10-07,87.95
7/13/2015 16:00:00,90.1
7/14/2015 16:00:00,89.68
7/15/2015 16:00:00,89.76
7/16/2015 16:00:00,90.85
7/17/2015 16:00:00,94.97
7/20/2015 16:00:00,97.91
7/21/2015 16:00:00,98.39
7/22/2015 16:00:00,97.04
7/23/2015 16:00:00,95.44
7/24/2015 16:00:00,96.95
7/27/2015 16:00:00,94.17
7/28/2015 16:00:00,95.29
7/29/2015 16:00:00,96.99
7/30/2015 16:00:00,95.21
7/31/2015 16:00:00,94.01
2015-03-08,94.14
2015-04-08,94.06
2015-05-08,96.44
2015-06-08,95.12
2015-07-08,94.3
2015-10-08,94.15
2015-11-08,93.62
2015-12-08,94.19
8/13/2015 16:00:00,93.43
8/14/2015 16:00:00,94.42
8/17/2015 16:00:00,93.93
8/18/2015 16:00:00,95.17
8/19/2015 16:00:00,95.31
8/20/2015 16:00:00,90.56
8/21/2015 16:00:00,86.06
8/24/2015 16:00:00,82.09
8/25/2015 16:00:00,83
8/26/2015 16:00:00,87.19
8/27/2015 16:00:00,89.73
8/28/2015 16:00:00,91.01
8/31/2015 16:00:00,89.43
2015-01-09,87.23
2015-02-09,89.89
2015-03-09,88.15
2015-04-09,88.26
2015-08-09,89.53
2015-09-09,90.44
2015-10-09,91.98
2015-11-09,92.05
9/14/2015 16:00:00,92.31
9/15/2015 16:00:00,92.9
9/16/2015 16:00:00,93.45
9/17/2015 16:00:00,94.34
9/18/2015 16:00:00,94.4
9/21/2015 16:00:00,95.55
9/22/2015 16:00:00,92.96
9/23/2015 16:00:00,93.97
9/24/2015 16:00:00,94.41
9/25/2015 16:00:00,92.77
9/28/2015 16:00:00,89.21
9/29/2015 16:00:00,86.67
9/30/2015 16:00:00,89.9
2015-01-10,90.95
2015-02-10,92.07
2015-05-10,94.01
2015-06-10,92.8
2015-07-10,92.4
2015-08-10,92.47
2015-09-10,93.24
2015-12-10,94.26
10/13/2015 16:00:00,94.12
10/14/2015 16:00:00,94.07
10/15/2015 16:00:00,95.96
10/16/2015 16:00:00,97.54
10/19/2015 16:00:00,98.47
10/20/2015 16:00:00,97
10/21/2015 16:00:00,97.11
10/22/2015 16:00:00,99.67
10/23/2015 16:00:00,102.19
10/26/2015 16:00:00,103.77
10/27/2015 16:00:00,103.7
10/28/2015 16:00:00,104.2
10/29/2015 16:00:00,104.88
10/30/2015 16:00:00,101.97
2015-02-11,103.31
2015-03-11,102.58
2015-04-11,103.94
2015-05-11,108.76
2015-06-11,107.1
2015-09-11,106.49
2015-10-11,107.91
2015-11-11,109.01
2015-12-11,108.02
11/13/2015 16:00:00,103.95
11/16/2015 16:00:00,104.04
11/17/2015 16:00:00,105.13
11/18/2015 16:00:00,107.77
11/19/2015 16:00:00,106.26
11/20/2015 16:00:00,107.32
11/23/2015 16:00:00,106.95
11/24/2015 16:00:00,105.74
11/25/2015 16:00:00,105.41
11/27/2015 16:00:00,105.45
11/30/2015 16:00:00,104.24
2015-01-12,107.12
2015-02-12,106.07
2015-03-12,104.38
2015-04-12,106.18
2015-07-12,105.61
2015-08-12,106.49
2015-09-12,104.6
2015-10-12,105.42
2015-11-12,102.12
12/14/2015 16:00:00,104.66
12/15/2015 16:00:00,104.55
12/16/2015 16:00:00,106.79
12/17/2015 16:00:00,106.22
12/18/2015 16:00:00,104.04
12/21/2015 16:00:00,104.77
12/22/2015 16:00:00,105.51
12/23/2015 16:00:00,104.63
12/24/2015 16:00:00,105.02
12/28/2015 16:00:00,105.93
12/29/2015 16:00:00,107.26
12/30/2015 16:00:00,106.22
12/31/2015 16:00:00,104.66
2016-04-01,102.22
2016-05-01,102.73
2016-06-01,102.97
2016-07-01,97.92
2016-08-01,97.33
2016-11-01,97.51
2016-12-01,99.37
1/13/2016 16:00:00,95.44
1/14/2016 16:00:00,98.37
1/15/2016 16:00:00,94.97
1/19/2016 16:00:00,95.26
1/20/2016 16:00:00,94.35
1/21/2016 16:00:00,94.16
1/22/2016 16:00:00,97.94
1/25/2016 16:00:00,97.01
1/26/2016 16:00:00,97.34
1/27/2016 16:00:00,94.45
1/28/2016 16:00:00,109.11
1/29/2016 16:00:00,112.21
2016-01-02,115.09
2016-02-02,114.61
2016-03-02,112.69
2016-04-02,110.49
2016-05-02,104.07
2016-08-02,99.75
2016-09-02,99.54
2016-10-02,101
2016-11-02,101.91
2016-12-02,102.01
2/16/2016 16:00:00,101.61
2/17/2016 16:00:00,105.2
2/18/2016 16:00:00,103.47
2/19/2016 16:00:00,104.57
2/22/2016 16:00:00,107.16
2/23/2016 16:00:00,105.46
2/24/2016 16:00:00,106.88
2/25/2016 16:00:00,108.07
2/26/2016 16:00:00,107.92
2/29/2016 16:00:00,106.92
2016-01-03,109.82
2016-02-03,109.95
2016-03-03,109.58
2016-04-03,108.39
2016-07-03,105.73
2016-08-03,105.93
2016-09-03,107.51
2016-10-03,107.32
2016-11-03,109.41
3/14/2016 16:00:00,109.89
3/15/2016 16:00:00,110.67
3/16/2016 16:00:00,112.18
3/17/2016 16:00:00,111.02
3/18/2016 16:00:00,111.45
3/21/2016 16:00:00,111.85
3/22/2016 16:00:00,112.25
3/23/2016 16:00:00,112.54
3/24/2016 16:00:00,113.05
3/28/2016 16:00:00,113.69
3/29/2016 16:00:00,116.14
3/30/2016 16:00:00,114.7
3/31/2016 16:00:00,114.1
2016-01-04,116.06
2016-04-04,112.55
2016-05-04,112.22
2016-06-04,113.71
2016-07-04,113.64
2016-08-04,110.63
2016-11-04,108.99
2016-12-04,110.61
4/13/2016 16:00:00,110.51
4/14/2016 16:00:00,110.84
4/15/2016 16:00:00,109.64
4/18/2016 16:00:00,110.45
4/19/2016 16:00:00,112.29
4/20/2016 16:00:00,112.42
4/21/2016 16:00:00,113.44
4/22/2016 16:00:00,110.56
4/25/2016 16:00:00,110.1
4/26/2016 16:00:00,108.76
4/27/2016 16:00:00,108.89
4/28/2016 16:00:00,116.73
4/29/2016 16:00:00,117.58
2016-02-05,118.57
2016-03-05,117.43
2016-04-05,118.06
2016-05-05,117.81
2016-06-05,119.49
2016-09-05,119.24
2016-10-05,120.5
2016-11-05,119.52
2016-12-05,120.28
5/13/2016 16:00:00,119.81
5/16/2016 16:00:00,118.67
5/17/2016 16:00:00,117.35
5/18/2016 16:00:00,117.65
5/19/2016 16:00:00,116.81
5/20/2016 16:00:00,117.35
5/23/2016 16:00:00,115.97
5/24/2016 16:00:00,117.7
5/25/2016 16:00:00,117.89
5/26/2016 16:00:00,119.47
5/27/2016 16:00:00,119.38
5/31/2016 16:00:00,118.81
2016-01-06,118.78
2016-02-06,118.93
2016-03-06,118.47
2016-06-06,118.79
2016-07-06,117.76
2016-08-06,118.39
2016-09-06,118.56
2016-10-06,116.62
6/13/2016 16:00:00,113.95
6/14/2016 16:00:00,114.94
6/15/2016 16:00:00,114.6
6/16/2016 16:00:00,114.39
6/17/2016 16:00:00,113.02
6/20/2016 16:00:00,113.37
6/21/2016 16:00:00,114.38
6/22/2016 16:00:00,113.91
6/23/2016 16:00:00,115.08
6/24/2016 16:00:00,112.08
6/27/2016 16:00:00,108.97
6/28/2016 16:00:00,112.7
6/29/2016 16:00:00,114.16
6/30/2016 16:00:00,114.28
2016-01-07,114.19
2016-05-07,114
2016-06-07,116.7
2016-07-07,115.85
2016-08-07,117.24
2016-11-07,117.87
2016-12-07,117.93
7/13/2016 16:00:00,116.78
7/14/2016 16:00:00,117.29
7/15/2016 16:00:00,116.86
7/18/2016 16:00:00,119.37
7/19/2016 16:00:00,120.61
7/20/2016 16:00:00,121.92
7/21/2016 16:00:00,120.61
7/22/2016 16:00:00,121
7/25/2016 16:00:00,121.63
7/26/2016 16:00:00,121.22
7/27/2016 16:00:00,123.34
7/28/2016 16:00:00,125
7/29/2016 16:00:00,123.94
2016-01-08,124.31
2016-02-08,123.09
2016-03-08,122.51
2016-04-08,124.36
2016-05-08,125.15
2016-08-08,125.26
2016-09-08,125.06
2016-10-08,124.88
2016-11-08,124.9
2016-12-08,124.88
8/15/2016 16:00:00,123.9
8/16/2016 16:00:00,123.3
8/17/2016 16:00:00,124.37
8/18/2016 16:00:00,123.91
8/19/2016 16:00:00,123.56
8/22/2016 16:00:00,124.15
8/23/2016 16:00:00,124.37
8/24/2016 16:00:00,123.48
8/25/2016 16:00:00,123.89
8/26/2016 16:00:00,124.96
8/29/2016 16:00:00,126.54
8/30/2016 16:00:00,125.84
8/31/2016 16:00:00,126.12
2016-01-09,126.17
2016-02-09,126.51
2016-06-09,129.73
2016-07-09,131.05
2016-08-09,130.27
2016-09-09,127.1
2016-12-09,128.69
9/13/2016 16:00:00,127.21
9/14/2016 16:00:00,127.77
9/15/2016 16:00:00,128.35
9/16/2016 16:00:00,129.07
9/19/2016 16:00:00,128.65
9/20/2016 16:00:00,128.64
9/21/2016 16:00:00,129.94
9/22/2016 16:00:00,130.08
9/23/2016 16:00:00,127.96
9/26/2016 16:00:00,127.31
9/27/2016 16:00:00,128.69
9/28/2016 16:00:00,129.23
9/29/2016 16:00:00,128.09
9/30/2016 16:00:00,128.27
2016-03-10,128.77
2016-04-10,128.19
2016-05-10,128.47
2016-06-10,128.74
2016-07-10,128.99
2016-10-10,130.24
2016-11-10,128.88
2016-12-10,129.05
10/13/2016 16:00:00,127.82
10/14/2016 16:00:00,127.88
10/17/2016 16:00:00,127.54
10/18/2016 16:00:00,128.57
10/19/2016 16:00:00,130.11
10/20/2016 16:00:00,130
10/21/2016 16:00:00,132.07
10/24/2016 16:00:00,133.28
10/25/2016 16:00:00,132.29
10/26/2016 16:00:00,131.04
10/27/2016 16:00:00,129.69
10/28/2016 16:00:00,131.29
10/31/2016 16:00:00,130.99
2016-01-11,129.5
2016-02-11,127.17
2016-03-11,120
2016-04-11,120.75
2016-07-11,122.15
2016-08-11,124.22
2016-09-11,123.18
2016-10-11,120.8
2016-11-11,119.02
11/14/2016 16:00:00,115.08
11/15/2016 16:00:00,117.2
11/16/2016 16:00:00,116.34
11/17/2016 16:00:00,117.79
11/18/2016 16:00:00,117.02
11/21/2016 16:00:00,121.77
11/22/2016 16:00:00,121.47
11/23/2016 16:00:00,120.84
11/25/2016 16:00:00,120.38
11/28/2016 16:00:00,120.41
11/29/2016 16:00:00,120.87
11/30/2016 16:00:00,118.42
2016-01-12,115.1
2016-02-12,115.4
2016-05-12,117.43
2016-06-12,117.31
2016-07-12,117.95
2016-08-12,118.91
2016-09-12,119.68
2016-12-12,117.77
12/13/2016 16:00:00,120.31
12/14/2016 16:00:00,120.21
12/15/2016 16:00:00,120.57
12/16/2016 16:00:00,119.87
12/19/2016 16:00:00,119.24
12/20/2016 16:00:00,119.09
12/21/2016 16:00:00,119.04
12/22/2016 16:00:00,117.4
12/23/2016 16:00:00,117.27
12/27/2016 16:00:00,118.01
12/28/2016 16:00:00,116.92
12/29/2016 16:00:00,116.35
12/30/2016 16:00:00,115.05
2017-03-01,116.86
2017-04-01,118.69
2017-05-01,120.67
2017-06-01,123.41
2017-09-01,124.9
2017-10-01,124.35
2017-11-01,126.09
2017-12-01,126.62
1/13/2017 16:00:00,128.34
1/17/2017 16:00:00,127.87
1/18/2017 16:00:00,127.92
1/19/2017 16:00:00,127.55
1/20/2017 16:00:00,127.04
1/23/2017 16:00:00,128.93
1/24/2017 16:00:00,129.37
1/25/2017 16:00:00,131.48
1/26/2017 16:00:00,132.78
1/27/2017 16:00:00,132.18
1/30/2017 16:00:00,130.98
1/31/2017 16:00:00,130.32
2017-01-02,133.23
2017-02-02,130.84
2017-03-02,130.98
2017-06-02,132.06
2017-07-02,131.84
2017-08-02,134.2
2017-09-02,134.14
2017-10-02,134.19
2/13/2017 16:00:00,134.05
2/14/2017 16:00:00,133.85
2/15/2017 16:00:00,133.44
2/16/2017 16:00:00,133.84
2/17/2017 16:00:00,133.53
2/21/2017 16:00:00,133.72
2/22/2017 16:00:00,136.12
2/23/2017 16:00:00,135.36
2/24/2017 16:00:00,135.44
2/27/2017 16:00:00,136.41
2/28/2017 16:00:00,135.54
2017-01-03,137.42
2017-02-03,136.76
2017-03-03,137.17
2017-06-03,137.42
2017-07-03,137.3
2017-08-03,137.72
2017-09-03,138.24
2017-10-03,138.79
3/13/2017 16:00:00,139.6
3/14/2017 16:00:00,139.32
3/15/2017 16:00:00,139.72
3/16/2017 16:00:00,139.99
3/17/2017 16:00:00,139.84
3/20/2017 16:00:00,139.94
3/21/2017 16:00:00,138.51
3/22/2017 16:00:00,139.59
3/23/2017 16:00:00,139.53
3/24/2017 16:00:00,140.34
3/27/2017 16:00:00,140.32
3/28/2017 16:00:00,141.76
3/29/2017 16:00:00,142.65
3/30/2017 16:00:00,142.41
3/31/2017 16:00:00,142.05
2017-03-04,142.28
